Sexo	Tipo de contrato o relación laboral	Edad	Periodo	Total
Ambos sexos	Total	Total	2023	17.963
Ambos sexos	Total	Total	2022	17.369,4
Ambos sexos	Total	Total	2021	16.660,7
Ambos sexos	Total	Total	2020	16.109,1
Ambos sexos	Total	Total	2019	16.670,5
Ambos sexos	Total	Total	2018	16.234,2
Ambos sexos	Total	Total	2017	15.715,1
Ambos sexos	Total	Total	2016	15.228,2
Ambos sexos	Total	Total	2015	14.773,5
Ambos sexos	Total	Total	2014	14.285,8
Ambos sexos	Total	Total	2013	14.069,1
Ambos sexos	Total	Total	2012	14.573,4
Ambos sexos	Total	Total	2011	15.394,2
Ambos sexos	Total	Total	2010	15.592,3
Ambos sexos	Total	Total	2009	15.881,1
Ambos sexos	Total	Total	2008	16.861,2
Ambos sexos	Total	Total	2007	16.968,1
Ambos sexos	Total	Total	2006	16.390,6
Ambos sexos	Total	De 16 a 19 años	2023	159,7
Ambos sexos	Total	De 16 a 19 años	2022	148
Ambos sexos	Total	De 16 a 19 años	2021	118,1
Ambos sexos	Total	De 16 a 19 años	2020	97,8
Ambos sexos	Total	De 16 a 19 años	2019	140
Ambos sexos	Total	De 16 a 19 años	2018	123,8
Ambos sexos	Total	De 16 a 19 años	2017	109,3
Ambos sexos	Total	De 16 a 19 años	2016	84,6
Ambos sexos	Total	De 16 a 19 años	2015	72
Ambos sexos	Total	De 16 a 19 años	2014	66,2
Ambos sexos	Total	De 16 a 19 años	2013	58,7
Ambos sexos	Total	De 16 a 19 años	2012	72,4
Ambos sexos	Total	De 16 a 19 años	2011	107,5
Ambos sexos	Total	De 16 a 19 años	2010	133,1
Ambos sexos	Total	De 16 a 19 años	2009	184,4
Ambos sexos	Total	De 16 a 19 años	2008	303,7
Ambos sexos	Total	De 16 a 19 años	2007	365,6
Ambos sexos	Total	De 16 a 19 años	2006	353,4
Ambos sexos	Total	De 20 a 24 años	2023	995,4
Ambos sexos	Total	De 20 a 24 años	2022	932,1
Ambos sexos	Total	De 20 a 24 años	2021	806,2
Ambos sexos	Total	De 20 a 24 años	2020	729,4
Ambos sexos	Total	De 20 a 24 años	2019	841
Ambos sexos	Total	De 20 a 24 años	2018	808
Ambos sexos	Total	De 20 a 24 años	2017	756,8
Ambos sexos	Total	De 20 a 24 años	2016	677,8
Ambos sexos	Total	De 20 a 24 años	2015	664
Ambos sexos	Total	De 20 a 24 años	2014	611
Ambos sexos	Total	De 20 a 24 años	2013	630,6
Ambos sexos	Total	De 20 a 24 años	2012	706,7
Ambos sexos	Total	De 20 a 24 años	2011	857,9
Ambos sexos	Total	De 20 a 24 años	2010	989,8
Ambos sexos	Total	De 20 a 24 años	2009	1.112,6
Ambos sexos	Total	De 20 a 24 años	2008	1.402,7
Ambos sexos	Total	De 20 a 24 años	2007	1.499,1
Ambos sexos	Total	De 20 a 24 años	2006	1.531,9
Ambos sexos	Total	De 25 a 29 años	2023	1.704,1
Ambos sexos	Total	De 25 a 29 años	2022	1.638,1
Ambos sexos	Total	De 25 a 29 años	2021	1.526,5
Ambos sexos	Total	De 25 a 29 años	2020	1.477,2
Ambos sexos	Total	De 25 a 29 años	2019	1.573,5
Ambos sexos	Total	De 25 a 29 años	2018	1.532,7
Ambos sexos	Total	De 25 a 29 años	2017	1.472,7
Ambos sexos	Total	De 25 a 29 años	2016	1.449,3
Ambos sexos	Total	De 25 a 29 años	2015	1.422,3
Ambos sexos	Total	De 25 a 29 años	2014	1.462,5
Ambos sexos	Total	De 25 a 29 años	2013	1.474,9
Ambos sexos	Total	De 25 a 29 años	2012	1.616,1
Ambos sexos	Total	De 25 a 29 años	2011	1.838,8
Ambos sexos	Total	De 25 a 29 años	2010	1.983,9
Ambos sexos	Total	De 25 a 29 años	2009	2.156,2
Ambos sexos	Total	De 25 a 29 años	2008	2.455,7
Ambos sexos	Total	De 25 a 29 años	2007	2.623,8
Ambos sexos	Total	De 25 a 29 años	2006	2.602,4
Ambos sexos	Total	De 30 a 39 años	2023	4.097
Ambos sexos	Total	De 30 a 39 años	2022	3.974,6
Ambos sexos	Total	De 30 a 39 años	2021	3.927
Ambos sexos	Total	De 30 a 39 años	2020	3.865
Ambos sexos	Total	De 30 a 39 años	2019	4.174,3
Ambos sexos	Total	De 30 a 39 años	2018	4.217,2
Ambos sexos	Total	De 30 a 39 años	2017	4.292,9
Ambos sexos	Total	De 30 a 39 años	2016	4.380,5
Ambos sexos	Total	De 30 a 39 años	2015	4.427,7
Ambos sexos	Total	De 30 a 39 años	2014	4.440,9
Ambos sexos	Total	De 30 a 39 años	2013	4.488,3
Ambos sexos	Total	De 30 a 39 años	2012	4.717,2
Ambos sexos	Total	De 30 a 39 años	2011	4.983,4
Ambos sexos	Total	De 30 a 39 años	2010	5.024,7
Ambos sexos	Total	De 30 a 39 años	2009	5.083,4
Ambos sexos	Total	De 30 a 39 años	2008	5.320,5
Ambos sexos	Total	De 30 a 39 años	2007	5.300,3
Ambos sexos	Total	De 30 a 39 años	2006	5.092,1
Ambos sexos	Total	De 40 a 49 años	2023	5.252,5
Ambos sexos	Total	De 40 a 49 años	2022	5.216,5
Ambos sexos	Total	De 40 a 49 años	2021	5.100,6
Ambos sexos	Total	De 40 a 49 años	2020	4.957,6
Ambos sexos	Total	De 40 a 49 años	2019	5.100,7
Ambos sexos	Total	De 40 a 49 años	2018	4.982,9
Ambos sexos	Total	De 40 a 49 años	2017	4.776,2
Ambos sexos	Total	De 40 a 49 años	2016	4.592,6
Ambos sexos	Total	De 40 a 49 años	2015	4.386,6
Ambos sexos	Total	De 40 a 49 años	2014	4.179,1
Ambos sexos	Total	De 40 a 49 años	2013	4.066
Ambos sexos	Total	De 40 a 49 años	2012	4.102,2
Ambos sexos	Total	De 40 a 49 años	2011	4.221,1
Ambos sexos	Total	De 40 a 49 años	2010	4.205,5
Ambos sexos	Total	De 40 a 49 años	2009	4.166,4
