Comunidades y Ciudades Autónomas	Sectores de actividad	Tipo de indicador	Componentes del coste	Periodo	Total
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2023	32.024,47
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2022	30.439,51
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2021	29.199,7
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2020	27.910,44
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2019	28.087,56
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2018	27.372,75
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2017	27.629,47
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2016	27.819,68
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2015	28.193,8
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2014	27.820,36
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2013	27.878,9
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2012	28.078,03
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2011	28.936,84
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2010	28.408,56
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2009	28.639,79
01 Andalucía	Total CNAE	Valor absoluto	Coste total bruto	2008	27.547,88
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2023	23.396,18
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2022	22.273,98
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2021	21.218,95
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2020	20.322,15
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2019	20.482,05
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2018	20.061,85
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2017	20.278,89
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2016	20.401,08
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2015	20.646,03
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2014	20.366,32
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2013	20.348,75
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2012	20.403,76
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2011	20.843,25
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2010	20.640,91
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2009	20.697,03
01 Andalucía	Total CNAE	Valor absoluto	Sueldos y salarios	2008	19.983,57
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2023	7.869,06
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2022	7.377,33
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2021	7.090,14
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2020	6.763,53
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2019	6.795,99
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2018	6.570,84
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2017	6.575,55
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2016	6.550,68
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2015	6.604,17
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2014	6.517,26
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2013	6.395,1
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2012	6.347,88
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2011	6.459,48
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2010	6.415,92
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2009	6.477,21
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones obligatorias	2008	6.347,94
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2023	107,85
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2022	107,12
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2021	106,39
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2020	108,83
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2019	107,37
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2018	112,52
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2017	130,44
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2016	130,61
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2015	120,1
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2014	131,7
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2013	125,5
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2012	124,86
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2011	169,79
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2010	169,66
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2009	185,51
01 Andalucía	Total CNAE	Valor absoluto	Cotizaciones voluntarias	2008	145,03
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2023	268,29
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2022	302,42
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2021	298,48
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2020	350,43
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2019	258,2
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2018	189,81
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2017	110,08
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2016	164,38
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2015	143,33
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2014	144,89
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2013	178,02
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2012	298,11
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2011	232,93
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2010	309,51
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2009	304,38
01 Andalucía	Total CNAE	Valor absoluto	Prestaciones sociales directas	2008	260,48
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2023	103,2
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2022	79,92
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2021	192,12
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2020	65,55
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2019	90,72
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2018	96,78
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2017	109,62
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2016	149,55
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2015	267,12
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2014	233,01
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2013	328,17
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2012	341,61
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2011	615,39
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2010	251,19
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2009	291,42
01 Andalucía	Total CNAE	Valor absoluto	Indemnizaciones por despido	2008	223,98
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2023	50,43
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2022	46,8
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2021	41,57
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2020	41,64
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2019	56,33
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2018	57,42
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2017	107,5
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2016	115,97
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2015	123,97
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2014	131,14
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2013	127,62
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2012	141,22
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2011	182,26
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2010	157,76
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2009	125,23
01 Andalucía	Total CNAE	Valor absoluto	Gastos en formación profesional	2008	112,23
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2023	5,73
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2022	4,27
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2021	4,99
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2020	5,83
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2019	8,41
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2018	8,24
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2017	7,2
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2016	7,84
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2015	7,28
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2014	16,33
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2013	8,32
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2012	8,46
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2011	10,09
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2010	14,97
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2009	13,63
01 Andalucía	Total CNAE	Valor absoluto	Gastos en transporte	2008	16,93
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2023	6,51
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2022	7,76
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2021	9,63
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2020	9,41
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2019	11,11
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2018	13,02
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2017	13,53
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2016	18,44
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2015	17,34
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2014	14,79
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2013	17,99
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2012	21,58
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2011	22,8
