Sexo	Nivel de formación alcanzado	Edad	Periodo	Total
Ambos sexos	Total	Total	2023	21.182,2
Ambos sexos	Total	Total	2022	20.547,5
Ambos sexos	Total	Total	2021	19.833,5
Ambos sexos	Total	Total	2020	19.202,4
Ambos sexos	Total	Total	2019	19.779,3
Ambos sexos	Total	Total	2018	19.327,7
Ambos sexos	Total	Total	2017	18.824,8
Ambos sexos	Total	Total	2016	18.341,5
Ambos sexos	Total	Total	2015	17.866
Ambos sexos	Total	Total	2014	17.344,2
Ambos sexos	Total	De 16 a 19 años	2023	167,4
Ambos sexos	Total	De 16 a 19 años	2022	158,4
Ambos sexos	Total	De 16 a 19 años	2021	126,4
Ambos sexos	Total	De 16 a 19 años	2020	106,4
Ambos sexos	Total	De 16 a 19 años	2019	150,5
Ambos sexos	Total	De 16 a 19 años	2018	134
Ambos sexos	Total	De 16 a 19 años	2017	117,9
Ambos sexos	Total	De 16 a 19 años	2016	95,8
Ambos sexos	Total	De 16 a 19 años	2015	83,8
Ambos sexos	Total	De 16 a 19 años	2014	79,4
Ambos sexos	Total	De 20 a 24 años	2023	1.042,9
Ambos sexos	Total	De 20 a 24 años	2022	975
Ambos sexos	Total	De 20 a 24 años	2021	857,3
Ambos sexos	Total	De 20 a 24 años	2020	777,5
Ambos sexos	Total	De 20 a 24 años	2019	888,2
Ambos sexos	Total	De 20 a 24 años	2018	855,3
Ambos sexos	Total	De 20 a 24 años	2017	803,2
Ambos sexos	Total	De 20 a 24 años	2016	724,5
Ambos sexos	Total	De 20 a 24 años	2015	718,9
Ambos sexos	Total	De 20 a 24 años	2014	669,2
Ambos sexos	Total	De 25 a 29 años	2023	1.842,9
Ambos sexos	Total	De 25 a 29 años	2022	1.768,6
Ambos sexos	Total	De 25 a 29 años	2021	1.657,9
Ambos sexos	Total	De 25 a 29 años	2020	1.594,5
Ambos sexos	Total	De 25 a 29 años	2019	1.701,7
Ambos sexos	Total	De 25 a 29 años	2018	1.673
Ambos sexos	Total	De 25 a 29 años	2017	1.626,1
Ambos sexos	Total	De 25 a 29 años	2016	1.592,5
Ambos sexos	Total	De 25 a 29 años	2015	1.577,6
Ambos sexos	Total	De 25 a 29 años	2014	1.616,8
Ambos sexos	Total	De 30 a 34 años	2023	2.199,1
Ambos sexos	Total	De 30 a 34 años	2022	2.117,9
Ambos sexos	Total	De 30 a 34 años	2021	2.032,8
