Rama de actividad - CNAE2009	Sexo	Tipo de dato	Periodo	Total
Total	Ambos sexos	Valor absoluto	2023	21.182,2
Total	Ambos sexos	Valor absoluto	2022	20.547,5
Total	Ambos sexos	Valor absoluto	2021	19.833,5
Total	Ambos sexos	Valor absoluto	2020	19.202,4
Total	Ambos sexos	Valor absoluto	2019	19.779,3
Total	Ambos sexos	Valor absoluto	2018	19.327,7
Total	Ambos sexos	Valor absoluto	2017	18.824,8
Total	Ambos sexos	Valor absoluto	2016	18.341,5
Total	Ambos sexos	Valor absoluto	2015	17.866
Total	Ambos sexos	Valor absoluto	2014	17.344,2
Total	Ambos sexos	Valor absoluto	2013	17.139
Total	Ambos sexos	Valor absoluto	2012	17.632,7
Total	Ambos sexos	Valor absoluto	2011	18.421,4
Total	Ambos sexos	Valor absoluto	2010	18.724,5
Total	Ambos sexos	Valor absoluto	2009	19.106,9
Total	Ambos sexos	Valor absoluto	2008	20.469,7
Total	Ambos sexos	Porcentaje	2023	100
Total	Ambos sexos	Porcentaje	2022	100
Total	Ambos sexos	Porcentaje	2021	100
Total	Ambos sexos	Porcentaje	2020	100
Total	Ambos sexos	Porcentaje	2019	100
Total	Ambos sexos	Porcentaje	2018	100
Total	Ambos sexos	Porcentaje	2017	100
Total	Ambos sexos	Porcentaje	2016	100
Total	Ambos sexos	Porcentaje	2015	100
Total	Ambos sexos	Porcentaje	2014	100
Total	Ambos sexos	Porcentaje	2013	100
Total	Ambos sexos	Porcentaje	2012	100
Total	Ambos sexos	Porcentaje	2011	100
Total	Ambos sexos	Porcentaje	2010	100
Total	Ambos sexos	Porcentaje	2009	100
Total	Ambos sexos	Porcentaje	2008	100
Total	Hombres	Valor absoluto	2023	11.376,7
Total	Hombres	Valor absoluto	2022	11.114,6
Total	Hombres	Valor absoluto	2021	10.733,2
Total	Hombres	Valor absoluto	2020	10.429,7
Total	Hombres	Valor absoluto	2019	10.745,6
Total	Hombres	Valor absoluto	2018	10.532
Total	Hombres	Valor absoluto	2017	10.266,3
Total	Hombres	Valor absoluto	2016	10.000,8
Total	Hombres	Valor absoluto	2015	9.760,3
Total	Hombres	Valor absoluto	2014	9.442,7
Total	Hombres	Valor absoluto	2013	9.315,8
Total	Hombres	Valor absoluto	2012	9.608,2
Total	Hombres	Valor absoluto	2011	10.152,5
Total	Hombres	Valor absoluto	2010	10.423,7
Total	Hombres	Valor absoluto	2009	10.733,1
Total	Hombres	Valor absoluto	2008	11.805,2
Total	Hombres	Porcentaje	2023	100
Total	Hombres	Porcentaje	2022	100
Total	Hombres	Porcentaje	2021	100
Total	Hombres	Porcentaje	2020	100
Total	Hombres	Porcentaje	2019	100
Total	Hombres	Porcentaje	2018	100
Total	Hombres	Porcentaje	2017	100
Total	Hombres	Porcentaje	2016	100
Total	Hombres	Porcentaje	2015	100
Total	Hombres	Porcentaje	2014	100
Total	Hombres	Porcentaje	2013	100
Total	Hombres	Porcentaje	2012	100
Total	Hombres	Porcentaje	2011	100
Total	Hombres	Porcentaje	2010	100
Total	Hombres	Porcentaje	2009	100
Total	Hombres	Porcentaje	2008	100
Total	Mujeres	Valor absoluto	2023	9.805,5
Total	Mujeres	Valor absoluto	2022	9.432,9
Total	Mujeres	Valor absoluto	2021	9.100,3
Total	Mujeres	Valor absoluto	2020	8.772,7
Total	Mujeres	Valor absoluto	2019	9.033,7
Total	Mujeres	Valor absoluto	2018	8.795,7
Total	Mujeres	Valor absoluto	2017	8.558,5
Total	Mujeres	Valor absoluto	2016	8.340,8
Total	Mujeres	Valor absoluto	2015	8.105,7
Total	Mujeres	Valor absoluto	2014	7.901,5
Total	Mujeres	Valor absoluto	2013	7.823,2
Total	Mujeres	Valor absoluto	2012	8.024,5
Total	Mujeres	Valor absoluto	2011	8.268,9
Total	Mujeres	Valor absoluto	2010	8.300,8
Total	Mujeres	Valor absoluto	2009	8.373,8
Total	Mujeres	Valor absoluto	2008	8.664,5
Total	Mujeres	Porcentaje	2023	100
Total	Mujeres	Porcentaje	2022	100
Total	Mujeres	Porcentaje	2021	100
Total	Mujeres	Porcentaje	2020	100
Total	Mujeres	Porcentaje	2019	100
Total	Mujeres	Porcentaje	2018	100
Total	Mujeres	Porcentaje	2017	100
Total	Mujeres	Porcentaje	2016	100
Total	Mujeres	Porcentaje	2015	100
Total	Mujeres	Porcentaje	2014	100
Total	Mujeres	Porcentaje	2013	100
Total	Mujeres	Porcentaje	2012	100
Total	Mujeres	Porcentaje	2011	100
Total	Mujeres	Porcentaje	2010	100
Total	Mujeres	Porcentaje	2009	100
Total	Mujeres	Porcentaje	2008	100
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2023	767,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2022	798,5
