Sexo	Edad	Nivel de formación alcanzado	Periodo	Total
Ambos sexos	Total	Total	2023	2.937,5
Ambos sexos	Total	Total	2022	3.079,2
Ambos sexos	Total	Total	2021	3.476,4
Ambos sexos	Total	Total	2020	3.530,9
Ambos sexos	Total	Total	2019	3.247,8
Ambos sexos	Total	Total	2018	3.479,1
Ambos sexos	Total	Total	2017	3.916,9
Ambos sexos	Total	Total	2016	4.481,2
Ambos sexos	Total	Total	2015	5.056
Ambos sexos	Total	Total	2014	5.610,4
Ambos sexos	Total	Analfabetos	2023	25,3
Ambos sexos	Total	Analfabetos	2022	32,3
Ambos sexos	Total	Analfabetos	2021	27
Ambos sexos	Total	Analfabetos	2020	26,1
Ambos sexos	Total	Analfabetos	2019	23
Ambos sexos	Total	Analfabetos	2018	26,9
Ambos sexos	Total	Analfabetos	2017	30,7
Ambos sexos	Total	Analfabetos	2016	32,6
Ambos sexos	Total	Analfabetos	2015	41,3
Ambos sexos	Total	Analfabetos	2014	47,4
Ambos sexos	Total	Estudios primarios incompletos	2023	51,4
Ambos sexos	Total	Estudios primarios incompletos	2022	56,1
Ambos sexos	Total	Estudios primarios incompletos	2021	62,4
Ambos sexos	Total	Estudios primarios incompletos	2020	62,4
Ambos sexos	Total	Estudios primarios incompletos	2019	72,4
Ambos sexos	Total	Estudios primarios incompletos	2018	95,2
Ambos sexos	Total	Estudios primarios incompletos	2017	97,4
Ambos sexos	Total	Estudios primarios incompletos	2016	117,1
Ambos sexos	Total	Estudios primarios incompletos	2015	142,3
Ambos sexos	Total	Estudios primarios incompletos	2014	159,9
Ambos sexos	Total	Educación primaria	2023	258,4
Ambos sexos	Total	Educación primaria	2022	256,5
Ambos sexos	Total	Educación primaria	2021	267
Ambos sexos	Total	Educación primaria	2020	284,4
Ambos sexos	Total	Educación primaria	2019	297,3
Ambos sexos	Total	Educación primaria	2018	338,4
Ambos sexos	Total	Educación primaria	2017	406,1
Ambos sexos	Total	Educación primaria	2016	494,3
Ambos sexos	Total	Educación primaria	2015	565,9
Ambos sexos	Total	Educación primaria	2014	661,8
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2023	1.050,9
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2022	1.134,6
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2021	1.272,1
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2020	1.256,5
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2019	1.237,5
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2018	1.359,6
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2017	1.576,6
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2016	1.777,4
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2015	2.000
Ambos sexos	Total	Primera etapa de educación secundaria y similar	2014	2.187,5
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2023	429,3
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2022	467,8
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2021	518,9
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2020	535,4
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2019	454,7
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2018	495,8
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2017	526,1
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2016	575,6
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2015	653,1
Ambos sexos	Total	Segunda etapa de educación secundaria, con orientación general	2014	743,7
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023	340,3
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022	341,9
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021	396,8
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020	371,6
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019	346,3
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018	351,9
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017	395,6
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016	463,9
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015	517
Ambos sexos	Total	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014	549,8
Ambos sexos	Total	Educación superior	2023	781,8
Ambos sexos	Total	Educación superior	2022	790
Ambos sexos	Total	Educación superior	2021	932,2
Ambos sexos	Total	Educación superior	2020	994,5
Ambos sexos	Total	Educación superior	2019	816,5
Ambos sexos	Total	Educación superior	2018	811,4
Ambos sexos	Total	Educación superior	2017	884,5
Ambos sexos	Total	Educación superior	2016	1.020,3
Ambos sexos	Total	Educación superior	2015	1.136,5
Ambos sexos	Total	Educación superior	2014	1.260,3
Ambos sexos	De 16 a 19 años	Total	2023	126,8
Ambos sexos	De 16 a 19 años	Total	2022	129,4
Ambos sexos	De 16 a 19 años	Total	2021	130,7
Ambos sexos	De 16 a 19 años	Total	2020	126,5
Ambos sexos	De 16 a 19 años	Total	2019	124,2
Ambos sexos	De 16 a 19 años	Total	2018	132,6
Ambos sexos	De 16 a 19 años	Total	2017	141,5
Ambos sexos	De 16 a 19 años	Total	2016	143,8
Ambos sexos	De 16 a 19 años	Total	2015	172,2
Ambos sexos	De 16 a 19 años	Total	2014	173,1
Ambos sexos	De 16 a 19 años	Analfabetos	2023	..
Ambos sexos	De 16 a 19 años	Analfabetos	2022	..
Ambos sexos	De 16 a 19 años	Analfabetos	2021	..
Ambos sexos	De 16 a 19 años	Analfabetos	2020	0
Ambos sexos	De 16 a 19 años	Analfabetos	2019	0
Ambos sexos	De 16 a 19 años	Analfabetos	2018	0
Ambos sexos	De 16 a 19 años	Analfabetos	2017	0
Ambos sexos	De 16 a 19 años	Analfabetos	2016	0
Ambos sexos	De 16 a 19 años	Analfabetos	2015	0
Ambos sexos	De 16 a 19 años	Analfabetos	2014	0
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2023	0
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2022	0,5
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2021	0,6
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2020	1
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2019	0,9
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2018	1,2
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2017	0,8
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2016	0,7
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2015	0,8
Ambos sexos	De 16 a 19 años	Estudios primarios incompletos	2014	0,3
Ambos sexos	De 16 a 19 años	Educación primaria	2023	13
Ambos sexos	De 16 a 19 años	Educación primaria	2022	13,9
Ambos sexos	De 16 a 19 años	Educación primaria	2021	11,3
Ambos sexos	De 16 a 19 años	Educación primaria	2020	13,5
Ambos sexos	De 16 a 19 años	Educación primaria	2019	15
Ambos sexos	De 16 a 19 años	Educación primaria	2018	17,2
Ambos sexos	De 16 a 19 años	Educación primaria	2017	20,1
Ambos sexos	De 16 a 19 años	Educación primaria	2016	20,3
Ambos sexos	De 16 a 19 años	Educación primaria	2015	23,8
Ambos sexos	De 16 a 19 años	Educación primaria	2014	22,5
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2023	62,8
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2022	73,4
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2021	71,1
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2020	69,3
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2019	69,3
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2018	74,5
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2017	85,8
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2016	88,3
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2015	103,9
Ambos sexos	De 16 a 19 años	Primera etapa de educación secundaria y similar	2014	109,1
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2023	31,9
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2022	26,2
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2021	29,9
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2020	25,9
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2019	24
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2018	24,8
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2017	22,5
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2016	21,7
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2015	26,2
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria, con orientación general	2014	25,5
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023	18
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022	14,2
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021	17,1
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020	15,9
